entityId,TTrvD,TTrvAS,x_center,y_center,radius,numStayPointsVisits,avgTimeVisit,num_travels,avg_travel_time,avg_travel_distance,avg_travel_avg_speed
83,34706.98611,4.44961,434055.92754,6465476.12853,10560.57582,5,761.6,19,43.421052631578945,17.879751917255142,2.3957460169373745
84,34607.1069,4.43681,434012.66134,6465542.59493,10530.22497,5,761.0,19,43.421052631578945,17.069289650616586,2.3696982575202257
85,33187.69432,4.25483,434481.02181,6463829.75142,10334.13561,6,681.0,18,45.77777777777778,11.883387980996309,1.1663330082623962
86,33643.8638,4.31332,434529.99474,6463873.26437,10461.43222,6,677.8333333333334,18,45.77777777777778,11.172927885390248,1.0787615764402594
87,33527.86267,4.29844,434444.57555,6463943.49514,10431.64675,6,676.5,18,45.77777777777778,11.911602894233923,1.1212213954741381
88,35319.82388,4.52818,434504.07216,6464013.86302,10619.44531,11,340.8181818181818,18,45.77777777777778,17.662279867657993,2.2204054408843388
89,36043.4241,4.62095,434516.52875,6464097.01887,10720.33229,10,373.4,18,45.77777777777778,19.684083684137857,2.402404159599656
90,35531.03901,4.55526,434438.75986,6464232.38656,10762.68381,6,614.6666666666666,18,45.77777777777778,18.28479749197787,2.2596253539281945
91,36723.74847,4.70817,434468.72455,6464383.86514,10740.78889,5,719.0,18,45.77777777777778,16.363944465469004,2.2282849676516068
92,36597.5598,4.69199,434463.18745,6464462.8738,10770.75091,5,726.6,18,45.77777777777778,18.2318288838521,2.320016387920702
93,36925.31584,4.73401,434394.63379,6464517.77647,10841.70173,4,899.5,18,45.77777777777778,15.881090046233611,2.2019989146281937
94,38143.7026,4.89022,433880.20406,6465113.26045,11214.54825,2,1795.5,18,45.77777777777778,20.459403010613865,2.698197542396247
95,36182.0859,4.63873,433856.09808,6465210.76263,11176.38357,6,634.5,18,45.77777777777778,22.0226769523926,2.7414935569542593
96,38611.54962,4.9502,433854.64642,6465287.65044,11326.71916,2,1799.0,18,45.77777777777778,20.951386683507483,2.7895171152236933
97,24888.07664,3.19078,437723.31934,6458403.6975,7152.18989,4,1107.0,17,39.0,288.36457588559006,6.345572950874917
98,31968.97496,4.09859,434504.05764,6463580.19548,10096.80244,2,2314.0,17,39.0,12.268946781632193,1.1742337628969977
99,12171.74239,1.56048,433729.33777,6465414.68539,3643.09595,3,2175.6666666666665,17,39.0,0.0,0.0
